"Tweets","Sentiments"
"edUAUBDedUBAUA 

Amazon responds to report of Echo sending recorded conversation AMZN

TSLA goog AAPL FB TWTR
",0
"is having conversations while editing the new This one is about and will be online soon httpst",2
"If your starts slowing down when using apps or playing games ",0
"and join forces to sort you out 
Alexa can now schedule meetings with your contacts",2
"and join forces to sort you out 
Alexa can now schedule meetings with your contacts",2
"is having conversations while editing the new This one is about and will be online soon",2
"Can we find the manager at that decided to include in the windows install and hit them repeatab",2
"Read our roundup on the latest news devs and demos from Microsoft on our here",0
"Read our roundup on the latest news devs and demos from Microsoft on our here",0
"Read our roundup on the latest news devs and demos from Microsoft on our here",0
"heroes Chief will never give up on Cortana Never make a girl a promise you cant keep  ",2
"Read our roundup on the latest news devs and demos from Microsoft on our here",0
"is the best assistant way underrated",2
"Someone kept telling me they keep getting spam on their work computer turns out its just an ad",2
"How smart are 
 and in answering your questions",2
"Read our roundup on the latest news devs and demos from Microsoft on our here",0
"Alexa amp Cortana join forces to sort you out Apples Siri could decline your incoming phone calls",1
"Alexa amp Cortana join forces to sort you out",2
"Why are digital assistants women edUAUBDedUBUA At least my can have a male voice ",0
"Translator for  has now integration and support along with offline Neural Mach",2
"My Wife is trying to match your voice for Cortana in her new Costume Random Halo quotes are fun",2
"From  Big jump for  China growing fast

   ",2
"and join forces to sort you out 
Alexa can now schedule meetings with your contacts",2
"acquisition will boost the companys digital assistant as well as the companys",2
"X Where has this woman been all my life edUAUBDedUBUDUUFEF",0
"Read our roundup on the latest news devs and demos from Microsoft on our here",0
"The plan for s is apparently that the will be more assistive rather than an assistant",0
"and join forces to sort you out 
Alexa can now schedule meetings with your contacts",2
"and join forces to sort you out 
Alexa can now schedule meetings with your contacts",2
"Read our roundup on the latest news devs and demos from Microsoft on our here",0
"We wonder if their new acquisition will be the key to revolutionising s  httpstc",2
"What started at O conference will be pursued by other big firms too Not surprised by move to make",0
"What started at O conference will be pursued by other big firms too Not surprised by move t",0
"and join forces to sort you out 
Alexa can now schedule meetings with your contacts",2
"and join forces to sort you out 
Alexa can now schedule meetings with your contacts",2
"and join forces to sort you out 
Alexa can now schedule meetings with your contacts",2
"My little one and I are absolutely loving our new UKI E laptop a really powerful spec that does things",2
"Over billion people will use digital assistants by edUAUBDedUBUAedUAUBEedUBUedUAUBDedUBUA

HT edUAUBDedUBUedUAUBCedUBFUBDedUAUBDedUBUedUAUBCedUBFUBDedUAUBDedUBUedUAUBCedUBFUBD

",0
"Over billion people will use digital assistants by edUAUBDedUBUAedUAUBEedUBUedUAUBDedUBUA

HT edUAUBDedUBUedUAUBCedUBFUBDedUAUBDedUBUedUAUBCedUBFUBDedUAUBDedUBUedUAUBCedUBFUBD

",0
"just bought an  to improve 
",2
"The Future of      ",0
"The Future of      ",0
"
Which of the following has Jennifer Taylor NOT voiced 
edUAUBCedUBUA      edUAUBCedUBUA 
edUAUBCedUBUA or edUAUBCedUBUA",0
"We wonder if their new acquisition will be the key to revolutionising s  httpstc",2
"We wonder if their new acquisition will be the key to revolutionising s  httpstc",2
"  
 firm to make amp",0
"From hailing a taxi with to creating on Azure highlights a new focus on the custome",2
" 
 firm to make amp",0
"csit announces new conversational center of excellence to work alongside other AI initiatives like Intel",2
"csit announces new conversational center of excellence to work alongside other AI initiatives like Intel",2
"csit announces new conversational center of excellence to work alongside other AI initiatives like Intel",2
"announces new conversational center of excellence to work alongside other AI initiatives like",2
"Nooo the dance moves were all sweet Anyone who was dunking was really complimenting becau",2
"If you get the error message Start menu and have stopped working look here",1
"If you get the error message Start menu and have stopped working look here",1
"From  Big jump for  China growing fast

  ",2
"No love for 

What about 
",2
"on with an updated roundup of smartness from corp

",0
"Is there something going on with Cortana and Tune In She cant seem to find my radio stations the way she did two",0
"they would spend all day gossiping about and her Boyfriend",0
"theyd talk catty about  Its what girls do",2
"they would spend all day gossiping about and her Boyfriend",0
"they would plot the down fall of",1
"Yo  and I hear youre adding male voices How does one get to audition to that gig",0
"Voice of Healthcare Summit Tuesday Aug  



",0
"Voice of Healthcare Summit Tuesday Aug  



",0
"The wars blaze on with acquiring edUAUBDedUBU

Microsoft Acquires Semantic Machines for Conv",1
"FYI s isnt the only of its kind 
 has a  phoneweilding too",2
"FYI s isnt the only of its kind 
 has a  phoneweilding too",2
"FYI s isnt the only of its kind 
 has a  phoneweilding",2
"Microsoft Acquires AI Company to Make Cortana and Bots Sound More Human 
 ",0
"Voice of Healthcare Summit Tuesday Aug  



",0
"Voice of Healthcare Summit Tuesday Aug  



",0
"Voice of Healthcare Summit Tuesday Aug  



",0
"Voice of Healthcare Summit Tuesday Aug  

",0
"Over billion people will use digital assistants by edUAUBDedUBUAedUAUBEedUBUedUAUBDedUBUA

HT edUAUBDedUBUedUAUBCedUBFUBDedUAUBDedUBUedUAUBCedUBFUBDedUAUBDedUBUedUAUBCedUBFUBD

",0
"technology such as  are power tools that allow the user to define what they",2
"s  can also make Calls Write Poetry and Host TV shows  Intelligence",2
"We wonder if their new acquisition will be the key to revolutionising s",2
"Meet cousin of and sister of It is getting more natural to talk to a bot amp it can",2
"Microsoft is acquiring AI startup Semantic Machines in an effort to make bots and intelligent assistants like Corta",2
" Dreaming about what else Voice could bring to your product with custom via Altrans",0
"Wow s amp s finally speak to one another The partnership will allow people to s",2
"ICYMI  Announces New Integration
  meets 
with",2
"That moment youre setting up new laptops in a quiet office amp Cortana starts screeching Hi there a little clicky",2
"Using chatbots and  to improve workflows starts with Net",2
"Clippy should be the Microsofts assistant not Cortana ",0
"Anyone else have this problem today My Invoke cant seem to play my local public radio station on command Worke",1
"LATEST  Announces New Integration
  meets 
with",2
"When will be available on Apple App Store India",2
"Unable to type to search box in until you give permission Is it Cortana box or search box I a",2
"NEW  Announces New Integration
  meets 
with",2
"BRAND NEW Announces New Integration
  meets 
with",2
"BRAND NEW Announces New Integration
  meets 
with",2
"Watch out Google Duplex Microsoft just demoed its own AI having a fullon phone call ",0
"Does on your PC appeal to you Or is it just as annoying as already is",1
"BRAND NEW Announces New Integration
  meets 
with",2
"BRAND NEW Announces New Integration
  meets 
with",2
